Customer_ID,Age_Group,Gender,Recommended_Products,Promotion_Applied
CUST_0001,Cao tuổi (>50),Nữ,"Thực phẩm bổ sung canxi, Trà thảo mộc, Kem dưỡng da lão hóa",Giảm 15% thực phẩm chức năng!
CUST_0002,Trẻ em (0–12),Nam,"Đồ chơi xe hơi, Bút màu, Bánh kẹo trẻ em",Giảm 10% tất cả đồ chơi hôm nay!
CUST_0003,Trẻ em (0–12),Nam,"Đồ chơi xe hơi, Bút màu, Bánh kẹo trẻ em",Giảm 10% tất cả đồ chơi hôm nay!
CUST_0004,Thiếu niên (13–18),Nam,"Giày sneaker, Ba lô học sinh, Tai nghe",Mua 2 tặng 1 đồ dùng học tập!
CUST_0005,Trẻ em (0–12),Nữ,"Búp bê, Bút màu, Kẹp tóc",Giảm 10% tất cả đồ chơi hôm nay!
CUST_0006,Trung niên (31–50),Nam,"Rượu vang, Cà phê hòa tan, Đồng hồ lịch lãm",Tích điểm gấp đôi cuối tuần!
CUST_0007,Trung niên (31–50),Nam,"Rượu vang, Cà phê hòa tan, Đồng hồ lịch lãm",Tích điểm gấp đôi cuối tuần!
CUST_0008,Cao tuổi (>50),Nam,"Thực phẩm chức năng, Trà xanh, Gậy đi bộ",Giảm 15% thực phẩm chức năng!
CUST_0009,Thiếu niên (13–18),Nam,"Giày sneaker, Ba lô học sinh, Tai nghe",Mua 2 tặng 1 đồ dùng học tập!
CUST_0010,Thiếu niên (13–18),Nam,"Giày sneaker, Ba lô học sinh, Tai nghe",Mua 2 tặng 1 đồ dùng học tập!
CUST_0011,Thiếu niên (13–18),Nam,"Giày sneaker, Ba lô học sinh, Tai nghe",Mua 2 tặng 1 đồ dùng học tập!
CUST_0012,Trung niên (31–50),Nữ,"Thực phẩm chức năng, Mỹ phẩm cao cấp, Rượu vang",Tích điểm gấp đôi cuối tuần!
CUST_0013,Cao tuổi (>50),Nam,"Thực phẩm chức năng, Trà xanh, Gậy đi bộ",Giảm 15% thực phẩm chức năng!
CUST_0014,Cao tuổi (>50),Nam,"Thực phẩm chức năng, Trà xanh, Gậy đi bộ",Giảm 15% thực phẩm chức năng!
CUST_0015,Thiếu niên (13–18),Nữ,"Son dưỡng môi, Ba lô học sinh, Kẹp tóc thời trang",Mua 2 tặng 1 đồ dùng học tập!
CUST_0016,Thanh niên (19–30),Nữ,"Mỹ phẩm dưỡng da, Túi xách, Trà sữa pha sẵn",Freeship khi mua từ 200k!
CUST_0017,Trẻ em (0–12),Nữ,"Búp bê, Bút màu, Kẹp tóc",Giảm 10% tất cả đồ chơi hôm nay!
CUST_0018,Cao tuổi (>50),Nữ,"Thực phẩm bổ sung canxi, Trà thảo mộc, Kem dưỡng da lão hóa",Giảm 15% thực phẩm chức năng!
CUST_0019,Cao tuổi (>50),Nữ,"Thực phẩm bổ sung canxi, Trà thảo mộc, Kem dưỡng da lão hóa",Giảm 15% thực phẩm chức năng!
CUST_0020,Thanh niên (19–30),Nam,"Giày sneaker, Đồng hồ thể thao, Nước tăng lực",Freeship khi mua từ 200k!
CUST_0021,Trung niên (31–50),Nam,"Rượu vang, Cà phê hòa tan, Đồng hồ lịch lãm",Tích điểm gấp đôi cuối tuần!
CUST_0022,Thanh niên (19–30),Nữ,"Mỹ phẩm dưỡng da, Túi xách, Trà sữa pha sẵn",Freeship khi mua từ 200k!
CUST_0023,Thanh niên (19–30),Nam,"Giày sneaker, Đồng hồ thể thao, Nước tăng lực",Freeship khi mua từ 200k!
CUST_0024,Thiếu niên (13–18),Nữ,"Son dưỡng môi, Ba lô học sinh, Kẹp tóc thời trang",Mua 2 tặng 1 đồ dùng học tập!
CUST_0025,Thiếu niên (13–18),Nam,"Giày sneaker, Ba lô học sinh, Tai nghe",Mua 2 tặng 1 đồ dùng học tập!
CUST_0026,Thanh niên (19–30),Nam,"Giày sneaker, Đồng hồ thể thao, Nước tăng lực",Freeship khi mua từ 200k!
CUST_0027,Thanh niên (19–30),Nam,"Giày sneaker, Đồng hồ thể thao, Nước tăng lực",Freeship khi mua từ 200k!
CUST_0028,Trẻ em (0–12),Nữ,"Búp bê, Bút màu, Kẹp tóc",Giảm 10% tất cả đồ chơi hôm nay!
CUST_0029,Thanh niên (19–30),Nữ,"Mỹ phẩm dưỡng da, Túi xách, Trà sữa pha sẵn",Freeship khi mua từ 200k!
CUST_0030,Thiếu niên (13–18),Nữ,"Son dưỡng môi, Ba lô học sinh, Kẹp tóc thời trang",Mua 2 tặng 1 đồ dùng học tập!
CUST_0031,Thanh niên (19–30),Nam,"Giày sneaker, Đồng hồ thể thao, Nước tăng lực",Freeship khi mua từ 200k!
