Transaction_ID,Customer_ID,Product_Name,Shelf_Location,Price_VND
TRANS_00001,CUST_0001,Kem dưỡng da lão hóa,Kệ K3,1850000
TRANS_00002,CUST_0001,Thực phẩm bổ sung canxi,Kệ O2,1464000
TRANS_00003,CUST_0002,Đồ chơi xe hơi,Kệ A1,1726000
TRANS_00004,CUST_0003,Bánh kẹo trẻ em,Kệ C2,273000
TRANS_00005,CUST_0003,Bút màu,Kệ B3,724000
TRANS_00006,CUST_0004,Tai nghe,Kệ G3,1373000
TRANS_00007,CUST_0004,Ba lô học sinh,Kệ F2,257000
TRANS_00008,CUST_0004,Giày sneaker,Kệ E1,1364000
TRANS_00009,CUST_0005,Búp bê,Kệ A2,1471000
TRANS_00010,CUST_0006,Rượu vang,Kệ M1,248000
TRANS_00011,CUST_0007,Rượu vang,Kệ M1,1397000
TRANS_00012,CUST_0007,Đồng hồ lịch lãm,Kệ I2,108000
TRANS_00013,CUST_0007,Cà phê hòa tan,Kệ N2,826000
TRANS_00014,CUST_0008,Trà xanh,Kệ N3,775000
TRANS_00015,CUST_0008,Gậy đi bộ,Kệ P1,1852000
TRANS_00016,CUST_0009,Giày sneaker,Kệ E1,418000
TRANS_00017,CUST_0010,Giày sneaker,Kệ E1,1656000
TRANS_00018,CUST_0010,Ba lô học sinh,Kệ F2,123000
TRANS_00019,CUST_0010,Tai nghe,Kệ G3,737000
TRANS_00020,CUST_0011,Ba lô học sinh,Kệ F2,1340000
TRANS_00021,CUST_0011,Tai nghe,Kệ G3,570000
TRANS_00022,CUST_0011,Giày sneaker,Kệ E1,923000
TRANS_00023,CUST_0012,Mỹ phẩm cao cấp,Kệ K2,1483000
TRANS_00024,CUST_0012,Thực phẩm chức năng,Kệ O1,1684000
TRANS_00025,CUST_0012,Rượu vang,Kệ M1,882000
TRANS_00026,CUST_0013,Thực phẩm chức năng,Kệ O1,702000
TRANS_00027,CUST_0013,Gậy đi bộ,Kệ P1,1392000
TRANS_00028,CUST_0014,Trà xanh,Kệ N3,1821000
TRANS_00029,CUST_0014,Thực phẩm chức năng,Kệ O1,572000
TRANS_00030,CUST_0015,Ba lô học sinh,Kệ F2,1784000
TRANS_00031,CUST_0015,Son dưỡng môi,Kệ H1,1048000
TRANS_00032,CUST_0015,Kẹp tóc thời trang,Kệ D2,1863000
TRANS_00033,CUST_0016,Túi xách,Kệ L2,696000
TRANS_00034,CUST_0017,Bút màu,Kệ B3,1544000
TRANS_00035,CUST_0017,Kẹp tóc,Kệ D1,1038000
TRANS_00036,CUST_0017,Búp bê,Kệ A2,1137000
TRANS_00037,CUST_0018,Thực phẩm bổ sung canxi,Kệ O2,1010000
TRANS_00038,CUST_0018,Kem dưỡng da lão hóa,Kệ K3,65000
TRANS_00039,CUST_0019,Trà thảo mộc,Kệ N4,1145000
TRANS_00040,CUST_0020,Đồng hồ thể thao,Kệ I1,1361000
TRANS_00041,CUST_0020,Giày sneaker,Kệ E1,861000
TRANS_00042,CUST_0021,Đồng hồ lịch lãm,Kệ I2,813000
TRANS_00043,CUST_0021,Rượu vang,Kệ M1,1927000
TRANS_00044,CUST_0022,Trà sữa pha sẵn,Kệ J3,603000
TRANS_00045,CUST_0022,Túi xách,Kệ L2,1674000
TRANS_00046,CUST_0023,Đồng hồ thể thao,Kệ I1,884000
TRANS_00047,CUST_0023,Nước tăng lực,Kệ J2,1883000
TRANS_00048,CUST_0024,Son dưỡng môi,Kệ H1,328000
TRANS_00049,CUST_0024,Kẹp tóc thời trang,Kệ D2,577000
TRANS_00050,CUST_0024,Ba lô học sinh,Kệ F2,1031000
TRANS_00051,CUST_0025,Giày sneaker,Kệ E1,998000
TRANS_00052,CUST_0025,Ba lô học sinh,Kệ F2,1507000
TRANS_00053,CUST_0025,Tai nghe,Kệ G3,1091000
TRANS_00054,CUST_0026,Giày sneaker,Kệ E1,94000
TRANS_00055,CUST_0027,Giày sneaker,Kệ E1,1615000
TRANS_00056,CUST_0027,Nước tăng lực,Kệ J2,471000
TRANS_00057,CUST_0028,Bút màu,Kệ B3,1198000
TRANS_00058,CUST_0028,Búp bê,Kệ A2,1893000
TRANS_00059,CUST_0029,Mỹ phẩm dưỡng da,Kệ K1,95000
TRANS_00060,CUST_0030,Son dưỡng môi,Kệ H1,924000
TRANS_00061,CUST_0031,Nước tăng lực,Kệ J2,886000
TRANS_00062,CUST_0031,Đồng hồ thể thao,Kệ I1,256000
TRANS_00063,CUST_0031,Giày sneaker,Kệ E1,1015000
TRANS_00064,CUST_0032,Thực phẩm chức năng,Kệ O1,351000
TRANS_00065,CUST_0032,Rượu vang,Kệ M1,1307000
TRANS_00066,CUST_0033,Tai nghe,Kệ G3,855000
TRANS_00067,CUST_0033,Ba lô học sinh,Kệ F2,805000
TRANS_00068,CUST_0034,Thực phẩm chức năng,Kệ O1,431000
TRANS_00069,CUST_0035,Thực phẩm chức năng,Kệ O1,713000
TRANS_00070,CUST_0035,Rượu vang,Kệ M1,1624000
TRANS_00071,CUST_0036,Đồ chơi xe hơi,Kệ A1,1689000
TRANS_00072,CUST_0037,Trà sữa pha sẵn,Kệ J3,600000
TRANS_00073,CUST_0037,Túi xách,Kệ L2,223000
TRANS_00074,CUST_0038,Trà thảo mộc,Kệ N4,1726000
TRANS_00075,CUST_0039,Trà thảo mộc,Kệ N4,163000
TRANS_00076,CUST_0039,Thực phẩm bổ sung canxi,Kệ O2,955000
TRANS_00077,CUST_0040,Thực phẩm chức năng,Kệ O1,1510000
TRANS_00078,CUST_0040,Mỹ phẩm cao cấp,Kệ K2,1068000
TRANS_00079,CUST_0041,Đồ chơi xe hơi,Kệ A1,492000
TRANS_00080,CUST_0041,Bánh kẹo trẻ em,Kệ C2,1113000
TRANS_00081,CUST_0042,Thực phẩm chức năng,Kệ O1,1881000
TRANS_00082,CUST_0042,Trà xanh,Kệ N3,264000
TRANS_00083,CUST_0042,Gậy đi bộ,Kệ P1,295000
TRANS_00084,CUST_0043,Gậy đi bộ,Kệ P1,1733000
TRANS_00085,CUST_0043,Thực phẩm chức năng,Kệ O1,749000
TRANS_00086,CUST_0043,Trà xanh,Kệ N3,107000
TRANS_00087,CUST_0044,Rượu vang,Kệ M1,860000
TRANS_00088,CUST_0044,Mỹ phẩm cao cấp,Kệ K2,853000
TRANS_00089,CUST_0044,Thực phẩm chức năng,Kệ O1,1377000
TRANS_00090,CUST_0045,Kẹp tóc,Kệ D1,1579000
TRANS_00091,CUST_0045,Búp bê,Kệ A2,257000
TRANS_00092,CUST_0046,Thực phẩm chức năng,Kệ O1,1025000
TRANS_00093,CUST_0046,Rượu vang,Kệ M1,872000
TRANS_00094,CUST_0047,Bút màu,Kệ B3,1978000
TRANS_00095,CUST_0047,Búp bê,Kệ A2,1629000
TRANS_00096,CUST_0047,Kẹp tóc,Kệ D1,510000
TRANS_00097,CUST_0048,Bút màu,Kệ B3,1386000
TRANS_00098,CUST_0048,Kẹp tóc,Kệ D1,1678000
TRANS_00099,CUST_0049,Rượu vang,Kệ M1,906000
TRANS_00100,CUST_0050,Son dưỡng môi,Kệ H1,681000
TRANS_00101,CUST_0050,Kẹp tóc thời trang,Kệ D2,584000
TRANS_00102,CUST_0050,Ba lô học sinh,Kệ F2,992000
TRANS_00103,CUST_0051,Kẹp tóc,Kệ D1,720000
TRANS_00104,CUST_0051,Bút màu,Kệ B3,407000
TRANS_00105,CUST_0052,Rượu vang,Kệ M1,1484000
TRANS_00106,CUST_0052,Thực phẩm chức năng,Kệ O1,261000
TRANS_00107,CUST_0052,Mỹ phẩm cao cấp,Kệ K2,388000
TRANS_00108,CUST_0053,Đồ chơi xe hơi,Kệ A1,394000
TRANS_00109,CUST_0054,Kẹp tóc,Kệ D1,468000
